rank,word,count,complexity_band
218,piece,1,Band 1 - Basic/Everyday
219,place,24,Band 1 - Basic/Everyday
220,plan,168,Band 1 - Basic/Everyday
221,played,1,Band 1 - Basic/Everyday
222,possible,50,Band 1 - Basic/Everyday
223,post,1,Band 1 - Basic/Everyday
224,power,140,Band 1 - Basic/Everyday
225,powers,1,Band 1 - Basic/Everyday
226,practice,29,Band 1 - Basic/Everyday
227,pray,119,Band 1 - Basic/Everyday
228,prayer,69,Band 1 - Basic/Everyday
229,praying,20,Band 1 - Basic/Everyday
230,prepare,82,Band 1 - Basic/Everyday
231,prepared,18,Band 1 - Basic/Everyday
232,print,1,Band 1 - Basic/Everyday
233,program,1,Band 1 - Basic/Everyday
234,project,1,Band 1 - Basic/Everyday
235,promise,36,Band 1 - Basic/Everyday
236,promised,24,Band 1 - Basic/Everyday
237,purpose,81,Band 1 - Basic/Everyday
238,put,17,Band 1 - Basic/Everyday
239,quicker,1,Band 1 - Basic/Everyday
240,raise,1,Band 1 - Basic/Everyday
241,raising,1,Band 1 - Basic/Everyday
242,rate,1,Band 1 - Basic/Everyday
243,read,133,Band 1 - Basic/Everyday
244,reading,32,Band 1 - Basic/Everyday
245,ready,18,Band 1 - Basic/Everyday
246,real,17,Band 1 - Basic/Everyday
247,receive,182,Band 1 - Basic/Everyday
248,received,35,Band 1 - Basic/Everyday
249,remains,1,Band 1 - Basic/Everyday
250,remember,38,Band 1 - Basic/Everyday
251,remove,1,Band 1 - Basic/Everyday
252,removed,1,Band 1 - Basic/Everyday
253,resting,1,Band 1 - Basic/Everyday
254,return,37,Band 1 - Basic/Everyday
255,right,41,Band 1 - Basic/Everyday
256,rising,1,Band 1 - Basic/Everyday
257,road,1,Band 1 - Basic/Everyday
258,role,24,Band 1 - Basic/Everyday
259,rooted,1,Band 1 - Basic/Everyday
260,roots,1,Band 1 - Basic/Everyday
261,rose,1,Band 1 - Basic/Everyday
262,run,1,Band 1 - Basic/Everyday
263,rush,1,Band 1 - Basic/Everyday
264,sad,1,Band 1 - Basic/Everyday
265,said,43,Band 1 - Basic/Everyday
266,same,21,Band 1 - Basic/Everyday
267,say,39,Band 1 - Basic/Everyday
268,schools,1,Band 1 - Basic/Everyday
269,screen,1,Band 1 - Basic/Everyday
270,search,24,Band 1 - Basic/Everyday
271,secret,1,Band 1 - Basic/Everyday
272,see,531,Band 1 - Basic/Everyday
273,seeing,1,Band 1 - Basic/Everyday
274,seemed,1,Band 1 - Basic/Everyday
275,seems,1,Band 1 - Basic/Everyday
276,seen,1,Band 1 - Basic/Everyday
277,self,1,Band 1 - Basic/Everyday
278,sends,1,Band 1 - Basic/Everyday
279,serve,67,Band 1 - Basic/Everyday
280,served,1,Band 1 - Basic/Everyday
281,service,65,Band 1 - Basic/Everyday
282,serving,17,Band 1 - Basic/Everyday
283,set,76,Band 1 - Basic/Everyday
284,setting,22,Band 1 - Basic/Everyday
285,shall,36,Band 1 - Basic/Everyday
286,share,150,Band 1 - Basic/Everyday
287,sharing,40,Band 1 - Basic/Everyday
288,sheep,1,Band 1 - Basic/Everyday
289,sheets,1,Band 1 - Basic/Everyday
290,shopping,1,Band 1 - Basic/Everyday
291,shore,1,Band 1 - Basic/Everyday
292,should,117,Band 1 - Basic/Everyday
293,show,42,Band 1 - Basic/Everyday
294,sidewalk,1,Band 1 - Basic/Everyday
295,signs,1,Band 1 - Basic/Everyday
296,simple,27,Band 1 - Basic/Everyday
297,sin,40,Band 1 - Basic/Everyday
298,sink,1,Band 1 - Basic/Everyday
299,six,1,Band 1 - Basic/Everyday
300,size,1,Band 1 - Basic/Everyday
301,sleep,1,Band 1 - Basic/Everyday
302,smoke,1,Band 1 - Basic/Everyday
303,somewhere,1,Band 1 - Basic/Everyday
304,sound,1,Band 1 - Basic/Everyday
305,speak,22,Band 1 - Basic/Everyday
306,spending,1,Band 1 - Basic/Everyday
307,spent,1,Band 1 - Basic/Everyday
308,spirit,277,Band 1 - Basic/Everyday
309,spoke,1,Band 1 - Basic/Everyday
310,stand,22,Band 1 - Basic/Everyday
311,standing,1,Band 1 - Basic/Everyday
312,stars,1,Band 1 - Basic/Everyday
313,stood,1,Band 1 - Basic/Everyday
314,stops,1,Band 1 - Basic/Everyday
315,street,1,Band 1 - Basic/Everyday
316,strength,32,Band 1 - Basic/Everyday
317,strong,21,Band 1 - Basic/Everyday
318,students,1,Band 1 - Basic/Everyday
319,study,408,Band 1 - Basic/Everyday
320,studying,23,Band 1 - Basic/Everyday
